method,document_id,difficulty,selected_mode,relation_macro_f1,relation_same_cell_f1,relation_right_f1,relation_below_f1,exact_cell_f1,same_cell_pair_f1,coordinate_accuracy,span_accuracy,spanning_cell_f1
rules,table_1,web_grid_multiline_cells,grid,0.60543,0.848214,0.491803,0.720879,0.895349,0.969479,1.0,1.0,0.0
rules,table_2,two_level_header,grid,0.621371,0.703704,0.666667,0.72381,1.0,1.0,1.0,1.0,1.0
rules,table_4,dense_multiline_cells,grid,0.370542,0.425806,0.333333,0.592593,1.0,1.0,1.0,1.0,0.0
rules,table_9,wide_table_grouped_header,partial_grid,0.776993,0.866667,0.913386,0.773006,0.972549,0.970874,1.0,1.0,0.857143
rules,table_12,vertical_spans_and_ocr_omissions,grid,0.310801,0.382609,0.352941,0.47027,0.925,0.988918,1.0,1.0,1.0
rules,table_13,degraded_scan_with_missing_fragments,grid,0.49908,0.637288,0.285714,0.642697,0.984375,1.0,1.0,1.0,1.0
rules,table_14,continuation_page_with_missing_fragments,grid,0.439663,0.7,0.0,0.729242,1.0,1.0,1.0,1.0,0.0
rules,table_15,continuation_page_with_missing_fragments,grid,0.504716,0.61039,0.444444,0.634361,1.0,1.0,1.0,1.0,0.0
geometry_text_v5,table_1,web_grid_multiline_cells,grid,0.561688,0.633333,0.477612,0.608924,0.895349,0.969479,1.0,1.0,0.0
geometry_text_v5,table_2,two_level_header,grid,0.60963,0.712329,0.761905,0.547619,1.0,1.0,1.0,1.0,1.0
geometry_text_v5,table_4,dense_multiline_cells,grid,0.40854,0.704,0.2,0.282609,1.0,1.0,1.0,1.0,0.0
geometry_text_v5,table_9,wide_table_grouped_header,partial_grid,0.691176,0.8,0.944,0.389474,0.972549,0.970874,1.0,1.0,0.857143
geometry_text_v5,table_12,vertical_spans_and_ocr_omissions,grid,0.397897,0.733894,0.0,0.438776,0.925,0.988918,1.0,1.0,1.0
geometry_text_v5,table_13,degraded_scan_with_missing_fragments,grid,0.418758,0.657534,0.15,0.413793,0.984375,1.0,1.0,1.0,1.0
geometry_text_v5,table_14,continuation_page_with_missing_fragments,grid,0.3765,0.666667,0.0,0.417112,1.0,1.0,1.0,1.0,0.0
geometry_text_v5,table_15,continuation_page_with_missing_fragments,grid,0.447418,0.700461,0.30303,0.405229,1.0,1.0,1.0,1.0,0.0
ordered_pair_v6,table_1,web_grid_multiline_cells,grid,0.603221,0.772358,0.433333,0.633609,0.895349,0.969479,1.0,1.0,0.0
ordered_pair_v6,table_2,two_level_header,grid,0.590379,0.7,0.736842,0.467532,1.0,1.0,1.0,1.0,1.0
ordered_pair_v6,table_4,dense_multiline_cells,grid,0.510673,0.735346,0.444444,0.368056,1.0,1.0,1.0,1.0,0.0
ordered_pair_v6,table_9,wide_table_grouped_header,partial_grid,0.638652,0.857143,0.864407,0.259887,0.972549,0.970874,1.0,1.0,0.857143
ordered_pair_v6,table_12,vertical_spans_and_ocr_omissions,grid,0.385422,0.66242,0.0,0.424242,0.925,0.988918,1.0,1.0,1.0
ordered_pair_v6,table_13,degraded_scan_with_missing_fragments,grid,0.441798,0.655502,0.15,0.414815,0.984375,1.0,1.0,1.0,1.0
ordered_pair_v6,table_14,continuation_page_with_missing_fragments,grid,0.383236,0.722467,0.0,0.377143,1.0,1.0,1.0,1.0,0.0
ordered_pair_v6,table_15,continuation_page_with_missing_fragments,grid,0.458648,0.693878,0.2,0.472973,1.0,1.0,1.0,1.0,0.0
geometry_only_v2,table_1,web_grid_multiline_cells,grid,0.555541,0.563218,0.413793,0.682415,0.895349,0.969479,1.0,1.0,0.0
geometry_only_v2,table_2,two_level_header,grid,0.459142,0.444444,0.466667,0.481013,1.0,1.0,1.0,1.0,1.0
geometry_only_v2,table_4,dense_multiline_cells,grid,0.286939,0.189831,0.058824,0.446429,1.0,1.0,1.0,1.0,0.0
geometry_only_v2,table_9,wide_table_grouped_header,partial_grid,0.462546,0.428571,0.813793,0.050633,0.916031,0.605263,0.541667,1.0,0.266667
geometry_only_v2,table_12,vertical_spans_and_ocr_omissions,grid,0.283117,0.228311,0.086957,0.364372,0.925,0.988918,1.0,1.0,1.0
geometry_only_v2,table_13,degraded_scan_with_missing_fragments,grid,0.401625,0.480565,0.15625,0.475138,0.984375,1.0,1.0,1.0,1.0
geometry_only_v2,table_14,continuation_page_with_missing_fragments,grid,0.369745,0.565517,0.0,0.538462,1.0,1.0,1.0,1.0,0.0
geometry_only_v2,table_15,continuation_page_with_missing_fragments,grid,0.476814,0.554054,0.347826,0.505376,1.0,1.0,1.0,1.0,0.0
